Topic,Count,Name,Representation,Representative_Docs
19,46,19_portugal_romeiras_scientific_science,"['portugal', 'romeiras', 'scientific', 'science', 'leitão', 'colégio', 'lisbon', 'portuguese', 'pombal', 'brotéria']","['Jesuit teacher student systematically collect meteorological datum share portuguese scientist instance truly exceptional activity carry teacher Lisbon college Father António Oliveira Pinto SJ earn notorious place history physical science Portugal active promoter modern experi mental science perform experiment telegraphy Open Access Leitão Romeiras open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License journal jesuit study UN F rancisco Malta Romeiras Henrique Leitão Jesuítas e ciência em Portugal António Oliveira Pinto SJ e primeira experiências com radioactividade em Portugal Brotéria scientific hist ory Brotéria Romeiras Das ciências naturais à genética Francisco Malta Romeiras Emergence Molecular Genetics Portugal Enterprise Luís', 'dis cuss scientific topic perform demonstration scientific session Colégio de Campolide Lisbon note social event Open Access Leitão Romeiras open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Role Science history portuguese Antijesuitism journal jesuit study UN r omeira Das ciências naturais à genética Ant ónio Egas Moniz nossa casa Lisbon Paulino Ferreira Filhos Lda F detailed discussion expulsion Jesuits republican revolution Romeiras Das ciências naturais à genética Francisco Malta Romeiras Henrique Leitão Jesuítas e ciência em Portugal V os colégio de Campolide e de São Fiel e implantação da República Brotéria man y religious polemic period', 'description discussion scientific activity develop college Romeiras Das ciências naturais à genética Francisco Malta Romeiras Henrique Leitão Jesuítas e ciência em Portugal III expedições científi cas e observações do eclipse solare de e Brotéria Francisco Malta Romeiras Henrique Leitão Jesuítas e ciência em Portugal II Carlos Zimmermann SJ e o ensino da microscopia vegetal Brotéria prominence cultural educational activity Jesuits decade return scientific activity educational priority engagement science play important role way project public image return Portugal Jesuits found college Colégio de Campolide Lisbon Colégio de São Fiel Louriçal Campo small town interior Portugal college target different sector society Lisbon']"
20,46,20_russian_beijing_qing_trade,"['russian', 'beijing', 'qing', 'trade', 'embassy', 'british', 'russia', 'afinogenov', 'fur', 'afinogenov open']","['alarm course british point view Macartney embassy spectacular failure tangible result Qianlong emperor famously condescend edict dismiss european good Matthew Mosca point Macartneys sense treat suspicion british activity Indiaindeed feel main reason embassys lack suc cessand russian conspiracy source Qing dis russian ambassador Count Golovkin impression attempt use India discredit British achieve goal expedient resort successfully court Golovkin write Open Access Afinogenov open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Jesuit Conspirators Russias East Asian Fur Trade journal jesuit study UN Serg ei tikhvinskii et al ed Russkokitaiskie otnosheniia v XIX v Moscow Institut Dalnego vostoka', 'Qing decade Russias perception british commercial threat abate despite embassys setbackquite oppositeand geopolitical crisis produce French Revolution rise Napoleon rais e stake high Emperor Alexander r decide finally send major embassy work long key Vorontsov project russian diplomatic mission Open Access Afinogenov open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Jesuit Conspirators Russias East Asian Fur Trade journal jesuit study UN eg Foust Muscovite Mandarin Russkokitaiskie otnosheniia v XIX v slightly different version Institute oriental Manuscripts St Petersburg Archive Orientalists f op d l Beijing year head major aristocrat endow authority negotiate behalf Russian Empire Count', 'journal jesuit study UNbrillcomjjs Afinogenov DOI open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License Conspirators Russias East Asian Fur Trade Gregory Afinogenov Harvard University afinogenfasharvardedu Abstract amidst grow anxiety british encroachment fur trade Qing Empire russian government discover Britain send large important embassy Beijing lead Lord Macartney attempt derail nego tiation Russia enrol Polotsk Jesuits plot convince Qing nefari ousness british design conspiracy success despite Macartneys failure jesuit Belarus Beijing continue play central role Russias geopolitical plan region decade half ulti mately project establish Russian Jesuit college Qing capital fail Russian Jesuit archival source article reconstruct']"
21,44,21_xavier_sanvitores_marianas_strobach,"['xavier', 'sanvitores', 'marianas', 'strobach', 'strasser', 'francis xavier', 'martyrdom', 'francis', 'sanvitoress', 'access strasser']","['holy reproduce easily travel great distance Middle García Vida et martyrio Ulinka r ublack dress Cultural Identity Renaissance Europe Oxford Oxford University Press Levy Jesuit Identity identifiable jesuit Díaz Repositioning Missionary Open Access Strasser open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Copies Souls journal jesuit study UNAges availability mimetic reproduction multiplication print help understand fully Garcías description talk original copy lengthy rumination resemblance Sanvitores Xavier choose punch line read Vida San Francis Xavier read life Father Sanvitores Reading write copying printing mimetic operation technology pro duce new saint Society global age Ignatius transform reading saint', 'reach space time Print technology circulate image story saintly exemplar worldwide offer cultural template mimetic copying crucial facilitate clerical reproduction great distance involve early modern evangelization Keywords Marianas Augustin Strobach Diego Luis de Sanvitores Francis Xavier masculinity mimesis martyrdom seman Christianorum print relic Sanguine fundata est Ecclesia sanguine crevit sanguine proficiet sanguine finis erit Open Access Strasser open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Copies Souls journal jesuit study UNEmmanuel de Boye Vita et obitus Venerabilis Patris Augustini select german envy feel calling end Indies remain stuck Europe Augustin Strobach Bohemia long arrive obituary name', 'UN Strasser doi open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License jesuit study brillcomjjs Copies Souls Late Seventeenthcentury Marianas Martyrs Francis Xavier Question Clerical Reproduction Ulrike Strasser University California San Diego ustrasserucsdedu Abstract Ignatius create template Jesuit manhood task model mis sionary masculinity future generation fall Francis Xavier member venture Europe essay focus late seventeenthcentury follower Xavier Marianas mission Diego Luis de Sanvitores Augustin Strobach contemporary characterize virtual copy Xavier twist original Xavier long martyrdom vain Sanvitores Strobach able shed blood faith story set backdrop posttrent revival martyrdom Societys need generate new Christians new missionary extend']"
22,44,22_slave_muslim_muslims_muslim slave,"['slave', 'muslim', 'muslims', 'muslim slave', 'naples', 'convert', 'gonzález', 'mission', 'spain', 'infidel']","['degli schiavi La congregazione degli schi avi dei PP Gesuiti Asprenas Saverio Santagata Istoria della Compagnia di Gesù appartenente al Regno di Napoli vol Napoli Mazzola italian city high number muslim slave convert Peter Mazur recently observe ruler Naples clerical lie conversion assimilation society muslim slave victory symbolism embody high value Catholic Church spanish monarchy jesuit pre ent city indifferent apostolate end begin convert slave privately own Neapolitan family slave seventeenth century Society Jesus launch apostolate muslim slave Naples Jesuits Girolamo dAlessandro Giacomo Antonio Giannoni meet muslim slave preach city create lay confraternity Congregation Epiphany away hell mem ber confraternity', 'famous apostle muslim slave certainly Juan Gabriel Guillén d Tirso González de Santalla d city southern Spain Madrid preach traditional popular mission Catholics special mission muslim slave González later thirteenth superior general Society compose Handbook Conversion Muslims wide diffusion Europe China translate polish Arabic reference book Society convert baptize pressure mis sionarie sincere desire muslim slave raise important question Catholic Church christian Catholics ask slave Christian Christian Sla ves Christian Masters Christian slave adage popular muslim community early modern Naples definitely misleading reflection historical reality fact scholar recently show muslim slave convert Catholicism obtain freedom manumission slave regulate civil authority', 'journal jesuit study koninklijke brill nv leiden doi UNbrillcomjjs Infidels home Jesuits Muslim Slaves SeventeenthCentury Naples Spain Emanuele Colombo Assistant Professor Catholic Studies DePaul University ecolombodepauledu Abstract Drawing publish unpublished Jesuit sourcestreatise handbook report lettersthis article explore Jesuit apostolate muslim slave Naples different city Spain seventeenth century blan ket missionary rhetoric Jesuit viewpoint available find source highlight missionary method strategy clarify spe cial status apostolate muslim slave Jesuit mind Europe setting mission muslim slave mission consider variation socalled popular mission charge deep symbolic value missionary interlocutor infidel different culture habit Jesuits form accommodation extremely similar mission overseas convert muslim slave']"
23,42,23_que_las_se_los,"['que', 'las', 'se', 'los', 'de', 'para', 'en', 'el', 'la', 'cada']","['adonde por él le fuese ordenado para que de allí passe otro lugar se deteniendo demassiado en uno sino pocos día para que llege los otros menos vieja las otras spagno las se enderezen los Provinciales de las otra Provincias ó adonde ellos ordenassen Y esto lo hazan de por sí de cada collegio si VR se lo ordenaze ó le enbiarán las letras para que las enbíe VR Al general se inbíe una spagnola y seis latinas para la Provincia de Roma y las otra de Italia y una de Sicilia y otra de Alemagna porque de aquí se', 'nostro P e general ó por su commissión para las mismas part se de copiar de manera que cada una dellas se embíen otra tanta vías como de las quadrimestre Las mismas carta se de tresladar en los libr os que ay aquí para tener las copias dellas Hanse de scrivir en los mismos libros t odas las cartas que el padre provin cial escrive las mismas parte ó manda escrivir copiandolas allende desto otra tantas veze quanta son las vías que se embían Hanse de hazer tr eze copias de todas las cartas de edificación que vienen de las', 'se emendarán acá como hasta aquí las que se enbían de cada parte pue se han de enbiar las mesmas que de allá vinieren y después de bien revisto el original se saquen allá y se colacionen las copias Con los de fuera de essa Provincia y los della es bien se tome concierto en los partes porque sean gravado los unos por las letras que van para las otros aunque se use la charidad en el reze bir y enderezar las letras así las que vienen de allá para acá como las que de fuera dessos Reynos se enbíen']"
24,42,24_magnanimity_virtue_cicero_honor,"['magnanimity', 'virtue', 'cicero', 'honor', 'fortitude', 'great', 'good', 'ciceros', 'person', 'thomas']","['public witness one faith result death tre mendous personal loss Thomass schema magnanimity potential fortitude virtue limit scope Magnanimity cohere fortitude align part soul reason virtue great difficult circumstance magnanimity fall short fortitude burgeon soul circumstance try imminent death q Art ultimately magnanimity concern human initiative resolve enterprise proclaim Gods goodness indicate work Gods grace addition thomass distinction virtue magnanimity fortitude begin departure Ciceros presentation magnanimity Thomas intro duce notion hope passion perfect elevate magnanimity Ignatius incorporate christian departure classical magnanimity key phrase section Constitutions Aquinas offer general account magnanimity Q Secunda Secundae like Aristotle Cicero magnanimity entail inclination desire', 'undertake great thing Thomas write Magnanimity denote stretch forth mind great thing q Art magnanimous individual tend great thing deserve honor Q Art magnanimity orient great honor discussion honor Thomas concern ambition injustice Cicero express Duties Thomas simply offer follow magnanimity observe mode reason great honor virtue Q Art Honor denote virtue virtue denote excellence Great honor denote magnanimity manifest great virtue presumptuous inordinately confident divine mercy overly ambitious vainglorious magnanimous Pusillanimity represent privation magnanimity pusillanimous person capable great thing shrink great thing great honor littleness soul Q Art human honor recognize God ultimate source virtue good beneficial honor draw', 'journal jesuit study Spinale doi open access article distribute term Creative Commons Attribution Noncommercial Unported CCBYNC License UNbrillcomjjs Intellectual Pedigree Virtue Magnanimity Jesuit Constitutions Kevin Spinale SJ Boston College frspinalbcedu Abstract article trace development virtue magnanimity Aristotle Cicero Thomas Aquinas order assess John OMalleys claim section Constitutions Society Jesus represent paraphrase section Ciceros Duties Aristotle virtue represent individual strive great virtue honor Cicero virtue take stoic characteristic temper justice concern common good Thomas Aquinas link virtue hope initiate great enterprise accomplish great virtue accord Gods Ignatius use magnanimity indicate virtue synthesize Ciceros atten tion common good aquinass notion hope Gods']"
25,41,25_reader_bunnys_bunny_directory,"['reader', 'bunnys', 'bunny', 'directory', 'personss', 'persons', 'devotional', 'text', 'chapter', 'pasquiers']","['read book resolve difficulty read Bunny clearly aim achieve pur pose protestantism primary purpose believe Questier helpfully shift issue doctrinal difference content text reader text pivot text consumption text second topic raise PersonsBunny controversy differently dispose reader Personss work appear resolve doubt different result term confessional affiliation Questier point convert English College Rome cite Directory book cause conversion hand Richard Baxter credit Bunnys Resolution write Parsons sic Jesuit cor recte Edm Bunny book turn spiritual life Bunnys relatively effortless appropriation Directory suggest instead think term specifically catholic protestant form devotion shape divergent theological view approach familiar literature schol ar period', 'argue desire writer control devotional text way raise second question matter author text like Directory matter Bunny speculate disingenuously author book peruse suggest roman catholic error add perusing booke proper author therof Ironically Bunny suggest perusing text sort exercise textual criticism new bibliographer reconstruction author original intention Authorship clearly matter Persons apparently stop press second edition see bunnys version insert annotation end chapter marginal note Personss sense owner ship text convey term protest infinite cor ruption mayme mangling work Bunnys perusal sense ideological purity thing stake reaction Bunny Houliston detect writerly pride Jesuit journal jesuit study UN Ibid Francis Edwards', 'book nearly twice length original Resolution reduce edition alternately aug mente reduce restore edition dispute controversy Schismatics church papist disabuse reason delay resolution subject chapter Directory Lukewarm Catholics stir hold imitation suffer torment death constancy despise world delight live thenceforward strict life order gain celestial kingdom Instructions Directory chapter important devotional text promote resolution conversion absent writer control response reader priest conference congregant proselyte Gregory ground critique social control theory text Directory emphasize unpredictable use text devout reader Edmund Bunny intention devotional writer alternative control model concede devotional writer indifferent regard confessional stake work Bunnys perusal Persons Personss outrage copy']"
26,41,26_di_che_et_non,"['di', 'che', 'et', 'non', 'de', 'il', 'ut', 'ad', 'la', 'del']","['Italia con non poco profitto di tanti popoli che mandandosi mente queste canzonette non solo simprimevan meglio le cose della nostra santa Fede nella memoria ma di più lasciate le canzoni profane si sentivan dappertutto cantar questa aver qualche respiro tutti loro più faticosi lavori Di questa medesima servissi pure il famoso Padre Paolo Segneri nelle sue Missioni con profitto sì universale che la cantava ogni genere di persone nelle case le strade nella campagna di modo che attestò un giovane secolare di averne venduto egli sol di sua parte infine quindicimila ed anche diè doggi è ella tanto uso', 'della Cristiana Religione listruir bene fanciulli nelle lettere Linteresse degli scolari e dei loro genitori è patente perchè la massima parte di loro dallapprender bene le lettere aspetta e spera il proprio mantenimento ed avvanzamento nelle temporali prosperità Ma quello stesso che è sommo interesse degli scolari e dei parenti loro è anche sommo interesse dellUmana Repubblica Imperocchè una massima parte degli impieghi Open Access Grendler open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nGrendler UNjournal jesuit study Renaissance humanist view Middle Ages dark age role humanistic education renew good learning good instruction speak writing foundation discus', 'patente perchè la massima parte di loro dallapprender bene le lettere aspetta e spera il proprio mantenimento ed avvanzamento nelle temporali prosperità Ma quello stesso che è sommo interesse degli scolari e dei parenti loro et anche sommo inter esse dellumana repubblica Imperocchè una massima parte degli impieghi che la repub blica dispensa e che sono necessari al buon regolarmento e felicità dei tenebrosi tempi che corsero cominciando dallanno di nostra salute fino quasi al mancanza di buone lettere nel mondo è ben nota tutti quelli che sono pratici della storia Che se listruire fanciulli nelle lettere è di tanto']"
27,39,27_guaraní_native_mission_montoya,"['guaraní', 'native', 'mission', 'montoya', 'indigenous', 'population', 'spanish', 'missionary', 'indian', 'native people']","['small Montoya instrumental found thirteen reduccione catholic mission Americas New France California Chile Guaraní mission establish Paraguay Jesuits consider successful term size native popula tion level economic prosperity extent religious conversion Indians perspective Europeans Guaraní highly receptive teaching Jesuits largely need intermediary help survive southern South America indian slavery prevalent begin bandeirante portuguese settler descendant explore interior colonial Brazil round native people force march coast carry away thousand Guaraní year initiate burn village Spaniards sell Guaraní slavery Paraguay list Guaraní captive year reveal approximately seventy percent woman child preference Guaraní woman reflect sexual division labor agricul ture woman predominant planting', 'Rome Editrice Pontificia Università Gregoriana Robert H Jackson Demographic Change Ethnic Survival Sedentary Populations Jesuit Mission Frontiers Spanish South America Formation Persistence Mission Communities Comparative Context Leiden Brill Map Paraquaria vulgo Paraguay cum adjacentibus Joannes Blaeu Atlas Maior Amsterdam Blaeu Open Access Ganson open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Antonio Ruiz De Montoya Apostle Guaraní journal jesuit study UN servitude Santo Domingo theologian Antonio Ruiz de Montoya speak injustice indian slavery Brazil Río de la Plata lonely voice Jesuits region question justness legality indian slavery period kingdom Spain Portugal join British North America indian', 'Book Reviews UN Robert H Jackson Demographic Change Ethnic Survival Sedentary Populations Jesuit Mission Frontiers Spanish South America Formation Persistence Mission Communities comparative Context Leiden Boston Brill Pp xvi Pb book provide demographic history population Paraguayan Chiquitos Jesuit mission colonial Río de la Plata emphasis epidemic disease eighteenth century comparison demographic pattern administrative program mission northern New Spain especially Alta California Texas region Jackson publish extensively book provide valuable insight mission population experience wealth demographic datum boast nearly ninety page appendix demographic history colonial Latin America focus effect virginsoil epidemic native population book build scholarship demonstrating difference virginsoil nonvirgin soil']"
28,38,28_ricci_chinese_china_riccis,"['ricci', 'chinese', 'china', 'riccis', 'matteo', 'matteo ricci', 'jesuit', 'meynard', 'edition', 'confucius']","['aspire accommodate individual person respect time place circumstance Renaissance Humanists firmly convince fundamental reconcilia tion grace nature revelation reason sacred pagan ccommodation Abroad Matteo Ricci Chinese Rites Examples abound early Jesuit missionary accommodation abroad socalled Age Discovery brief look mission Matteo Ricci n Accommodation rhetorical principle journal jesuit study UN bibliogr aphy large expand work publish prior Bibliography Jesuit Mission China ed Erik Zürcher Nicolas Standaert Adrianus Dudink Leiden Leiden University sampling recent publication include Mary Laven Mission China Matteo Ricci Jesuit Encounter East London Faber Faber Michela Fontana Matteo Ricci Jesuit Ming Court tran Paul Metcalfe Lanham Rowman Littlefield', 'Jesuit sinolo gist Pasquale DElia prepare new edition Fonti Ricciane Storia dellintroduzione del cristianesimo Cina Avarello original italian text history letter new edition publish Riccis hometown Maddalena Del Gatto ed Matteo Ricci Della entrata della Compagnia di Giesù e christianità nella Cina Macerata Francesco DArelli ed Matteo Ricci Lettere Macerata story manuscript Dellentrata particularly interesting Riccis death Jesuit Niccolò Longobardo succeed mission superior Longobardo wish set China mission solid base send Jesuit Europe procurator Nicolas Trigault Trigault task recruit new missionary espe cially scientific education collect financial support gift espe cially book China obtain separation China Jesuit province Japan goal', 'chinese reaction Tianzhu shiyi review briefly later missionary controversy Riccis use confucian language preach Christianity fleetingly mention compensate extensive scholarship extant topic Meynard offer wellselected bibliography new french edition conveniently present chinese text anno tat translation opposite page English edition expand English edition Meynards original translation preface Riccis chinese interlocutor comment work imperial collection Siku quanshu 四庫全書 complete library treasure line emphasis Tianzhu Shiyi chinese tradition English edition include Riccis preface footnote far extensive English edition indicate textual variation different edition Tianzhu shiyi provide welcome aid grasp cultural reference Ricci draw chinese european tradition theological philosophical question stake reader background']"
29,38,29_hagen_observatory_georgetown_phillips,"['hagen', 'observatory', 'georgetown', 'phillips', 'director', 'observation', 'letter', 'astronomical', 'hag', 'cortie']","['enlarging organiz ing library complete collection journal bind set aside year purpose later letter Hagen tell Phillips well financial situation time Georgetown suggest Fr John Gipprich member ag Cortie Berlotti Gipprich director Georgetown Observatory Bonaventure Berlotti direc tor Ksara Observatory Lebanon tell Phillips follow hedrick perfectionism Hedrick pub lishe Hagen satisfied Phillips member ag get contact american Phillips t o Hagen Georgetown June Phillips t o Hagen Georgetown July Hag en Phillips Georgetown July Georgetown University Archives gua hag en Phillips Georgetown September gua Open Access Udías open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License nUdías journal', 'observation cosmic cloud Latusseck nubila Hag en Phillips Georgetown September gua hag en Phillips Georgetown October gua hag en Phillips Georgetown June gua Open Access Udías open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Correspondence Johann Georg Hagen journal jesuit study UN eye equally sensitive color case throw light mystery cloud far photo graph recognize observation widely accept great struggle skepticism englishspeake letter September Phillips appoint provincial write change duty definitively probably manently exclude opportunity follow Fr Hagens suggestion request Paul McNally Phillips successor director Georgetown Observatory letter Hagen preserve McNally apologize long delay answer hagen', 'station Fort Myer Arlington timesignal Hedrick receive inform Hagen give lecture Fr Fargiss method photographic transit George Fargis Georgetown Observatory Hedrick t o Hagen Georgetown September Hedrick t o Hagen Georgetown March Hedrick t o Hagen Georgetown July Open Access Udías open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Correspondence Johann Georg Hagen journal jesuit study UN Edward C Phillips director Georgetown observatory year letter Hagen archive Georgetown University fourteen letter postcard Hagen Phillips year large number Hagens letter person find main subject letter observation cosmic cloud shed light controversial problem early letter Phillips thank Hagen']"
30,37,30_campion_sander_ireland_sanders,"['campion', 'sander', 'ireland', 'sanders', 'allen', 'england', 'invasion', 'ton', 'edmund', 'kilroy']","['create fear invasion England Jesuit mission arie doom moment land Dover year later radical argument favor papal power depose monarchs express De visibili monarchia theological argument catholic apostolic church Rationes decem center Campions interrogation rack parallel life Campion Sander reveal completely contrast view papacy Rome Keywords Edmund Campion Nicholas Sander Smerwick Earl Desmond De visibili monarchia Philip Sidney Edmund Spenser Concertatio n path Coincident journal jesuit study UN Thomas Hardy Convergence Twain Collected Poems Thomas hardy Wordsworth Poetry Library London text print Sir James Ware publish Historie Ireland Collected Learned Authors Viz Meredith Hanmer Doctor Divinitie Edmund Campion Fellow St', 'Jesuits ed Thomas M McCoog SJ Boydell Woodbridge cr McCoog touch Society absi Collectanea f absi Collectanea p f clamour Campion describe greet arrival occa sione Sanders expedition Campion find guilty association complain trial Allen know Sander land Ireland month long receive letter follow Persons know Sanders expedition time say Sanders expedition cause priest send mission England odious Campion go Allen F Campian go President Mr Dr Allen sayd Sir heer haue desire go England come long iourny Praga Rome Rome think labor England countervail travail absence Boemia idle unemployed tone suggest Campion long aware Allens ambivalent aim suggest far', 'journal jesuit study koninklijke brill nv leiden doi UNbrillcomjjs Paths Coincident parallel life Dr Nicholas Sander Edmund Campion SJ Gerard Kilroy University College London gkilroyuclacuk Abstract Edmund Campion arrive Dublin August travel fellowship St Johns College Oxford fiveyear leave absence enable postpone ordination Elizabethan church Campion invite stay Recorder Dublin James Stanihurst library satisfy academic need hope Campion help university form key program reform Ireland Campion ignore call friend English college Douai join Dublin mean quiet pause allow campion stay quietly establishment like article argue Ireland beginning thank disastrous invasion July Nicholas Sander end Campions trouble rebellion stir Sander Munster']"
31,36,31_jesuit_architecture_jesuits_lithuanian,"['jesuit', 'architecture', 'jesuits', 'lithuanian', 'church', 'architect', 'arts', 'building', 'der', 'design']","['Worldwide heart study art architecture commission Jesuit order foundation global network church college profess house novitiate rich archival source especially plan doc ument preserve roman provincial archive world gold standard study architectural corpus establish Richard Bösel volume Jesuitenarchitektur Italien roman Neapolitan province second volume milanese province appear coauthore Herbert Bösel unparalleled knowledge Jesuit building cor pus demonstrate study Jesuit architecture cumulative enterprise begin thorough knowledge work self document building history Jesuit college thoroughly document Jesuit build ing inadequately integrate large discussion Jesuit archi tecture profit recently Bösels emphasis typological study Jesuit architecture Rui Lobos study Jesuit college courtyard Évora Coimbra', 'Jesuit style architectural typology refer complex form practice constitute Jesuit architectural culture recently propose consider Jesuit building practice ratio Journal Jesuit Studies F assessment literature question circa Evonne Levy Architecture Religion Seventeenthcentury Rome Studiolo Thomas Lucas Landmarking City Church Jesuit Urban Strategy Chicago Loyola University Press Pio Pecchiai Il Gesù di Roma Rome Società Grafica Romana Clare Robertson Farnese Cardinals Question Jesuit Taste Jesuits Cultures Sciences Arts ed John W OMalley Gauvin Alexander Bailey Steven J Harris T Frank Kennedy Toronto University Toronto Press idem Il Gran Cardinale Alessandro Farnese Patron Arts New Haven Yale University Press Klaus Sch wager', 'path clear mean Jesuits n early Modern Jesuit Arts Jesuit Visual Culture Journal Jesuit Studies Milan Electa Schwager note archival research include Gio vanni Sale Pauperismo architettonico e architettura gesuitica introduction Sandro Benedetti Rome Jaca Book part Sales book condense sumptuously illustrate Architectural Simplicity Jesuit architecture design Gesù Rome difficult collaboration Jesuits Arts ed John OMalley Gauvin Alexander Bailey Philadelphia St Josephs University Press respectively Richar d Bösel Meglio soli che boncompagnati La facciata del Collegio Romano tra magnificenza papale e pauperismo religioso Römische Historische Mitteilungen Roberto Luciani Il Collegio Romano larchitettura e il tempo Il Collegio Romano dalle origini']"
32,35,32_acosta_ancient_acostas_peru,"['acosta', 'ancient', 'acostas', 'peru', 'natural moral', 'scripture', 'natural', 'americas', 'maccormack', 'moral']","['de Acosta De natura novi orbis libri duo José de Acosta Historia natural y moral de las Indias Seville Casa de Juan de Leon subject revise text De procuranda wisdom study ancient philosophy create energy God consider introductory De natura novi orbi author Acosta grapple error ancient phi losophy Aristotle eld Pliny father church configuration globe distribution man kind Acosta choose contribute literature inter este instead reason time ancient hada turn outbeen error Aristotle follow think con trary recent experience demonstrate torrid zone zone near equator hot uninhabitable ancient Acosta con clude lack navigational experience observe latitude equator Peru example', 'book natural Moral history Acosta write Peru Mexico take narrative event far las puer ta del evangelio entry Gospel scripture contribute theology history theologically speak voyage discovery bring light face idolatry India Americas Africa island Pacific Far East way old story quote book Wisdom idolatry cause beginning end Acosta produce classification divide idolatry lineage arise phenomena nature grand scale Open Access MacCormack Ando McGinness open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Ancient Authorities Intertwined journal jesuit study UN Ibid V Ibid Exod Golden Calf Aaron excuse raise claim people want situation Acosta find parallel China', 'city South prophet Obadiah refer Americas mistaken prophet point conversion Americas indigenous people fact remain scripture offer word prophecy contain precise geo graphical information Americas ancient Acosta conclude remain learn day small world remain Open Access MacCormack Ando McGinness open access article distribute term Creative Commons AttributionNoncommercial Unported CCBYNC License n Ancient Authorities Intertwined journal jesuit study UN author devote energy pursuit pay attention proof natural philosopher De natura novi orbis quic quid auctore hi senserint equidem non magnopere admiror quos video gravioribus stu diis intentos demonstratione philosophicas non admodum perspecisse Acosta De natura novi orbis ibid quare et animum']"
33,34,33_chinese_map_ricci_china,"['chinese', 'map', 'ricci', 'china', 'dai', 'kangxi', 'western', 'emperor', 'astronomy', 'riccis']","['Book Reviews journal jesuit study Qiong Zhang make New World Chinese Encounters Jesuit Science Age Discovery Leiden Boston Brill Pp xx Hb title fine study relationship Jesuit missionary chinese scholar show author determined explore chinese relationship far recent study Jesuits China eurocentric view New World focusse Americas Zhang relate encounter Europeans impor tant encounter jesuit enable late Ming early Qingdynasty China adopt new picture world like study relationship Jesuits science China Zhang begin Matteo Ricci arrive China Zhang focus mathematic astronomy give Ricci entrée Man darin society focus cartography area receive inadequate attention Ricci draw map world chinese host map', 'ultimately lead chinese scholar redraw map chinese scholar late sixteenth century depict China center square earth surround sea picture base confucian classic Ricci introduce western concept terraqueous globe sphere center surface chinese scholar loath adopt view Riccis map Ricci hand invent chinese name western geographical concept word today example Zhang mention chinese planet Earth Diqiu mean terrestrial sphere important acceptance map Ricci good Jesuit fashion suggest ancient text describe square earth sea need read literally prove fruitful encourage late generation chinese scholar promote western concept terraqueous globe chinese tradition go twelfth century claim concept sea mean take literally time Ricci', 'arrive China tradition long ignore Zhang show despite old tradition definite Jesuit influence ac ceptance western map especially scholar identify Yugong Tribute Yu chinese scholar begin origin terraqueous globe classical text attribute western learning chinese source new official imperial map Kangxi Atlas year Ricci present map demonstrate acceptance western cartography map couch simple math ematical language statement Zhang point n Book Reviews journal jesuit study UNthe culmination nearly century chinese engagement Western Europe represent Kangxi emperor cultural territorial ambi tion way hand social geopolitical pect engagement include commerce empire hand cultural intellectual aspect particular study natural world filter China jesuit']"
